iterations,train_pairwise_ranking_loss,test_pairwise_ranking_loss,iterations_done,resumed_from,epoch_interrupt_received,received_first_batch,epochs_done,training_started,batch_interrupt_received,epoch_started
0,204.596405029,193.227615356,,,,,,,,
309,223.922332764,212.279083252,309.0,,False,True,1.0,True,False,False
618,225.563308716,211.68737793,618.0,,False,True,2.0,True,False,False
927,224.371002197,210.8697052,927.0,,False,True,3.0,True,False,False
1236,217.191009521,206.180984497,1236.0,,False,True,4.0,True,False,False
1545,221.286010742,237.400558472,1545.0,,False,True,5.0,True,False,False
1854,230.383422852,209.13432312,1854.0,,False,True,6.0,True,False,False
2163,208.912918091,206.685333252,2163.0,,False,True,7.0,True,False,False
2472,211.786224365,200.472061157,2472.0,,False,True,8.0,True,False,False
2781,208.588516235,199.143264771,2781.0,,False,True,9.0,True,False,False
3090,201.731109619,192.429489136,3090.0,,False,True,10.0,True,False,False
3399,153.118331909,154.161315918,3399.0,,False,True,11.0,True,False,False
3708,143.63520813,136.712890625,3708.0,,False,True,12.0,True,False,False
4017,106.957939148,93.0926361084,4017.0,,False,True,13.0,True,False,False
4326,64.7428665161,65.0410614014,4326.0,,False,True,14.0,True,False,False
4635,49.1924934387,51.1857833862,4635.0,,False,True,15.0,True,False,False
4944,41.7105026245,45.4343528748,4944.0,,False,True,16.0,True,False,False
5253,34.3735542297,39.9335670471,5253.0,,False,True,17.0,True,False,False
5562,31.9440822601,35.0980300903,5562.0,,False,True,18.0,True,False,False
5871,26.8485355377,30.5848693848,5871.0,,False,True,19.0,True,False,False
6180,24.8711128235,27.5012722015,6180.0,,False,True,20.0,True,False,False
6489,24.1108074188,25.1218605042,6489.0,,False,True,21.0,True,False,False
6798,26.0873622894,28.0836181641,6798.0,,False,True,22.0,True,False,False
7107,21.53723526,21.3194541931,7107.0,,False,True,23.0,True,False,False
7416,19.9630527496,22.2406635284,7416.0,,False,True,24.0,True,False,False
7725,19.2957229614,20.9621181488,7725.0,,False,True,25.0,True,False,False
8034,18.3580322266,21.1378879547,8034.0,,False,True,26.0,True,False,False
8343,17.8596611023,19.3524169922,8343.0,,False,True,27.0,True,False,False
8652,17.1534538269,18.1863517761,8652.0,,False,True,28.0,True,False,False
8961,16.8723468781,17.2727775574,8961.0,,False,True,29.0,True,False,False
9270,17.361000061,19.9804153442,9270.0,,False,True,30.0,True,False,False
9579,16.3484745026,18.3437767029,9579.0,,False,True,31.0,True,False,False
9888,16.2452125549,16.6305809021,9888.0,,False,True,32.0,True,False,False
10197,15.2291965485,16.2439098358,10197.0,,False,True,33.0,True,False,False
10506,15.8929986954,17.1989383698,10506.0,,False,True,34.0,True,False,False
10815,15.4348754883,17.1888217926,10815.0,,False,True,35.0,True,False,False
11124,14.4297304153,17.6454582214,11124.0,,False,True,36.0,True,False,False
11433,14.2296457291,16.2263278961,11433.0,,False,True,37.0,True,False,False
11742,14.7480278015,17.755739212,11742.0,,False,True,38.0,True,False,False
12051,14.9588527679,14.6915664673,12051.0,,False,True,39.0,True,False,False
12360,14.7241888046,17.143321991,12360.0,,False,True,40.0,True,False,False
12669,13.9089660645,15.2684345245,12669.0,,False,True,41.0,True,False,False
12978,14.1526174545,18.1012744904,12978.0,,False,True,42.0,True,False,False
13287,13.9682092667,15.375333786,13287.0,,False,True,43.0,True,False,False
13596,14.3839616776,14.964881897,13596.0,,False,True,44.0,True,False,False
13905,12.7468852997,15.2365722656,13905.0,,False,True,45.0,True,False,False
14214,13.0523042679,14.5948991776,14214.0,,False,True,46.0,True,False,False
14523,12.7899827957,15.2052783966,14523.0,,False,True,47.0,True,False,False
14832,12.8479347229,14.4736557007,14832.0,,False,True,48.0,True,False,False
15141,11.9534406662,15.3416795731,15141.0,,False,True,49.0,True,False,False
15450,12.2266101837,15.8575716019,15450.0,,False,True,50.0,True,False,False
